Premise 1,Premise 2,Syllogistic relation,Conclusion,index
Children who live in orphanages don't know how to love their families,It is difficult for children to show empathy,yes,It is difficult for children who live in orphanages to show empathy,3616
"In a process called flux melting, water released from the subducting plate reduces the melting point",Lower the melting temperature of the overlying mantle wedge contributes to the production of magma,yes,"In a process called flux melting, water released from the subducting plate contributes to the production of magma",3617
Eating salt raises the amount of sodium in your bloodstream.,Reduction of sodium in your bloodstream reduce the ability of your kidneys to remove the water.,yes,Eating salt reduce the ability of your kidneys to remove the water.,3618
We can only speak and think of what exists.,The uncreated and imperishable for it is whole and unchanging and complete.,yes,We can only speak and think of the uncreated and imperishable for it is whole and unchanging and complete. ,3619
Dallas Crane is the lead singer of Rock genre.,Dallas Crane group produces singles regarding rock genre.,yes,"""Sit on My Knee"" is a song in Rock genre.",3620
Aluminium is a good metal for making electrical conductor metals.,Electrical transmission lines need a good conductor to transmit the electricity easily.,yes,Aluminium is a good metal for electrical transmission lines in order to transmit the electricity easily.,3621
"When a person smokes, he breathes in a variety of additional chemicals.","When you breathe in not only nicotine but also a variety of additional chemicals, it affects lung health.",yes,"When a person smokes, he affects lung health.",3622
The elimination of Ghaddafi’s army forces soothed the path to liberation.,The rebels destroyed Ghaddafi’s army.,yes,The rebels soothed the path to liberation.,3630
Poor nutrition can cause the follicle to stop growing.,Some hair follicles to stop growing.,yes,Poor nutrition can cause hairloss.,3631
New director monitored movements with cameras.,The installation of surveilance cameras raised the security level of infrastructure.,yes,New director raised the security level of infrastructure.,3632
"Cotton production boosted production in other areas of the world, including new colonies in Africa",The U.S. Civil War resulted in the scarcity of cotton,yes,"The U.S. Civil War boosted production in other areas of the world, including new colonies in Africa",3634
soon you will get a termination bonus,"soon,my uncle is going to get fired",yes,"soon ,my uncle is going to get a termination bonus",3635
"If you continue to eat too much salt then, over time, the damage of extra blood pressure may become so severe.",The damage caused by the extra blood pressure may become so severe that the arteries burst or become completely clogged.,yes,"If you continue to eat too much salt then, over time, the arteries burst or become completely clogged.",3637
The worse the quality of sleep you'll have with the guests the next day,"Old mattresses, poor linen or even bad lighting all contribute to the lack of sleep",yes,"Old mattresses, poor linen or even bad lighting all contribute to the problems you'll have with the guests the next day",3638
