,index,Premise 1,Premise 2,Conclusion
949,2297,"Plankton is where the Queen bee, the worker bee and the drone live.",Bees live in different habitats.,"Bees live in places where the Queen bee, the worker bee and the drone live."
950,2298,Lack of cheese maybe would lead to lack of vitamin B12.,Lack of cheese might lead to vitamin B12 deficiency anaemia.,Lack of cheese maybe would lead to vitamin B12 deficiency anaemia.
951,2299,It is possible to keep customers satisfied by following through with promises,Customers follow through with promises,It is possible to keep customers satisfied by following through with promises
2388,2300,Blackhands murder of Franz Ferdinand sparked the Spanish–American War.,The capture of Franz Ferdinand pioneered the First World War.,Blackhands murder of Franz Ferdinand pioneered the First World War.
1920,2301,travellers tend to be sociable,people who are outgoing tend to be outgoing,travellers tend to be outgoing
2389,2302,Floods carry water a couple of feet high and lash it ashore,Hurricanes bring about floods,Hurricanes carry water a couple of feet high and lash it ashore
463,2303, vaporizes the water,Reactivity releases heat,Reactivity vaporizes the water
952,2304,Spending time at traffic lights increases the amount of carbon dioxide in the atmosphere.,Avoid pollution.,For reduction of the effect of air pollution you shoud limit spending time at traffic lights.
464,2305,outdated vehicles are the source of air pollution,outdated vehicles are the source of air pollution,outdated vehicles are the source of air pollution
953,2306,Unacceptable behavior turned Stanley into repulsive lunatic.,The discovery of the ancient mask turned Stanley into repulsive lunatic.,The ancient mask turned Stanley into repulsive lunatic.
2390,2307,People not to give up on their lives.,Athena helped people to express their gratitude.,Athena helped people not to give up on their lives.
1921,2308,diving can change the local ecology. ,most tourists of Pacific ocean go diving.,most tourists of Pacific ocean can change the local ecology. 
2391,2309,Kids who are rejected by their parent have difficulty forming friendships.,People who feel isolated have difficulty forming friendships.,Kids who are rejected by their parent have difficulty forming friendships.
2392,2310,Antioxidants are useful for curing immune response to something in surroundings that's harmless,Allergen immunotherapy is useful for curing immune response,Allergen immunotherapy is useful for curing immune response to something in surroundings that's harmless
2393,2311,Production of labor force changes with the effects of war.,People deriven from economical problems are more resistant to change.,drastic loss of life deriven from economical problems changes with the effects of war.
465,2312,eggs contain a large amount of Thiamin.,Vitamin B1 helps you keep the nervous system healthy.,egg can help you  keep the nervous system healthy.
1922,2313,The Watergate scandal made Nixon to resign the presidency.,Two young journalists exposed the Watergate scandal.,Two young journalists made Nixon to resign the presidency.
1434,2314,Depression usually leads to stress,Weight loss usually leads to weight loss,Depression usually leads to weight loss
1923,2315,Lord of Riverrun ordered the arranged marriage.,The Stark family set a trap to eliminate Stark family.,Lord of Riverrun set a trap to eliminate Stark family.
954,2316,Hepatitis destroys the liver.,Antibiotics helps clean the blood and fight infection.,Hepatitis destroys an oregon which helps clean the blood and fight infection.
2394,2317, relaxing music can help you relax. ,Release of hormone can alleviate stress., relaxing music can alleviate stress .
