Premise 1,Premise 2,Syllogistic relation,Conclusion,index
Curious children can try new things without embarrassment,Technology allows people to freely adopt their interests,yes,Technology allows children to try new things without embarrassment,575
the character in the play is shy and socially anxious,people who don't make eye contact with others are shy,yes,the character in the play is shy,583
Georgia green seeded cotton led to the widespread growth of cotton plantations in the United States and Brazil,The invention of the cotton gin in 1792 resulted in the georgian green pitted cotton,yes,The invention of the cotton gin in 1792 led to the widespread growth of cotton plantations in the United States and Brazil,599
In places where smoking is allowed,You should take away your children from school if they are exposed to chemicals from smoke,yes,You should take away your children from places where smoking is allowed,605
It's possible to get a better governance over your income through financial planning,It's possible to understand how much money you'll need for tax payments,yes,It's possible to understand how much money you'll need for tax payments through financial planning,623
Pregnant women with eating disorders have shown to have a greater chance of having a miscarriage.,Consumption is a genetic predisposition,yes,Pregnant women with a genetic predisposition  have shown to have a greater chance of having a miscarriage,630
Some athletes withstood more difficulties than others to achieve their goals.,Ilyas Abbadi trained in Algerian boxing department.,yes,Ilyas Abbadi withstood more difficulties than others to achieve their goals.,643
The observation of animals competition encountered difficulties.,Investigating the direct rivalry among various types of animals is an important task.,yes,Investigating of animals competition encountered difficulties.,647
The Axis forces formed the Axis forces Alliance.,The heavy resistance of England and other major European countries resulted in the establishment of Axis forces.,yes,The heavy resistance of England and other major European countries formed the Axis forces Alliance.,652
French fries are known to contain more calories (food) than body actually needs.,Overusing calories results in storing excessive energy and gaining weight.,yes,French fries results in storing excessive energy and gaining weight.,654
