,index,Premise 1,Premise 2,Conclusion
945,2288,"C caterpillars, gypsy moths and grubs are big-bodies insects.",Rose-Breasted Grosbeak loves to hunt for its dietry.,"Rose-Breasted Grosbeak loves to hunt caterpillars, gypsy moths and grubs for its dietry."
2385,2289,Sleep helps to regulate the heart vessels,Reduction of arteries helps to maintain blood pressure and sugar levels as well as inflammation control,Sleep helps to  maintain blood pressure and sugar levels as well as inflammation control
1919,2290,Heart rate increases when your heart work harder than normal,smoking increases blood pressure,smoking makes your heart work harder than normal
2386,2291,The fallopian tubes may live for around 24 hours before it can no longer be fertilized.,Fallopian tubes are places where the sperm may live for around 24 hours before it can no longer be fertilized.,The sperm may live for around 24 hours before it can no longer be fertilized.
2387,2292,High levels of triglycerides are linked to the buildup of hard deposits in your arteries.,High levels of triglycerides increases your risk for heart disease and stroke.,High levels of triglycerides are linked to the buildup of hard deposits in your arteries buildup increases your risk for heart disease and stroke.
946,2293,High blood pressure can damage the heart,The stiffening of the heart muscle causes abnormal function in the heart,High blood pressure causes abnormal function in the heart
1433,2294,"People may have fraternal multiples, like twins.",People may have multiple eggs during one ovulation either naturally or as part of reproductive assistance.,"People may have fraternal multiples, like twins."
947,2295,Parliamentary systems have the right to dismiss a Prime Minister at any point in time by a Vote of No Confidence,The legislature decides whether or not to remove the Prime Minister from office by a majority support for his or her dismissal,Parliamentary systems have the right to dismiss a Prime Minister at any point in time by a Vote of No Confidence where the legislature decides whether or not to remove the Prime Minister from office by a majority support for his or her dismissal
948,2296,An inland port allows a ship to sail from the ocean inland to the port to load or unload its cargo,An inland port has the ability to access water,An inland port allows a ship to sail from the ocean inland to the port to load or unload its cargo
949,2297,"Cases are places where the Queen bee, the worker bee and the drone live.",Bees live in colonies which are surrounded by jungle.,"Bees live in places where the Queen bee, the worker bee and the drone live."
950,2298,Low levels of calcium maybe would lead to vitamin B12 deficiency anaemia.,Vitamin B12 deficiency anaemia is associated with lack of vitamin B12.,Lack of cheese maybe would lead to vitamin B12 deficiency anaemia.
951,2299,It is possible to keep customers satisfied by offering them personalized recommendations,"By following through with promises, you can improve customer satisfaction",It is possible to keep customers satisfied by following through with promises
2388,2300,Blackhands murder resulted in the death of Franz Ferdinand.,The assassination of Franz Ferdinand pioneered the First World War.,Blackhands murder of Franz Ferdinand pioneered the First World War.
1920,2301,travellers tend to visit new places,people who are outgoing tend to be outgoing,travellers tend to be outgoing
