Premise 1,Premise 2,Syllogistic relation,Conclusion,index
Going on foot in the forest or desert areas is highly time and energy-consuming but enjoyable.,"To watch the untouched nature, people should go on foot in the forest or desert areas.",yes,Watching the untouched nature is highly time and energy-consuming but enjoyable.,3912
Native British folks accepted Roman soldiers in Britain.,Acceptance of Roman soldiers in Britain helped them to start families.,yes,Native British folks helped Roman soldiers to start families.,3921
Overpopulation will increase the amount of CO2 by the increase in using fossil fuels.,"Creating better medical treatment, would lead to overpopulation.",yes,Creating better medical treatment will increase the amount of CO2 by the increase in using fossil fuels.,3923
Research has found an association between diets high in animal protein and obesity.,urinary calcuim is linked to an increase in fractures in bones.,yes,Research has found an association between diets high in animal protein and an increase in fractures in bones.,3924
steel cars were cheaper than steel cars at the time,the first landrover unlike the other cars was made out of aluminium,yes,the first landrover was cheaper than steel cars at the time,3934
An airtight container must be kept warm and left undisturbed so that bacteria can do their work.,The general process for making an anaerobic digester for cow dung starts with placing dung and water in an airtight container in specific condition.,yes,The general process for making an anaerobic digester for cow dung starts with placing dung and water in air container that must be kept warm and left undisturbed so that bacteria can do their work.,3938
reclaimed materials are more and more used as partial replacements for natural aggregates,"reclaimed materials are mostly come from construction, demolition, and excavation waste",yes,"construction, demolition, and excavation waste are more and more used as partial replacements for natural aggregates",3939
Having sponsorship funding encourages more focus on the training.,More focus on the training helps professional athletes to get better results.,yes,Having sponsorship funding helps professional athletes to get better results.,3943
The massive tsunami in Indonesia took almost 230000 lives.,A large earthquake generated a massive tsunami in Indonesia.,yes,A large earthquake took almost 230000 lives.,3950
Cell-powered lights are often reserved for when and where stationary lights fail,Cell-powered lights come in the form of flashlights or electric lanterns,yes,Flashlights or electric lanterns are often reserved for when and where stationary lights fail,3955
Vitamin A keeps the skin and the lining of some parts of the body healthy.,Oily fish is full of vitamin A.,yes,Oily fish will keep the skin  and the lining of some parts of the body healthy.,3971
Most textbooks are rated using Lexile range.,Lexile range is a measure of a text's vocabulary and sentences.,yes,Most textbooks are rated using a measure of a text's vocabulary and sentences.,3974
sand blasting mechanism grinds away solid objects in its path as the kinetic energy of the wind is transferred to the ground,The whirling airborne grains act as a sand blasting mechanism,yes,The whirling airborne grains grinds away solid objects in its path as the kinetic energy of the wind is transferred to the ground,3979
The overthrow of Iranian government ensured western control of Iran's petroleum resources.,28 Mordad coup overthrew Iran's elected government,yes,28 Mordad coup ensured western control of Iran's petroleum resources.,3996
